,template,type
64,从{station}出发有哪些{train_type}能到{station},3
65,从{station}到{station}的{train_type},3
66,从{station}到{station}都有哪些{train_type},3
67,从{station}到{station}可以坐哪些{train_type},3
68,从{station}到{station}可以坐什么{train_type},3
69,从{station}到{station}有哪些{train_type},3
70,从{station}到{station}有什么{train_type},3
71,从{station}到{station}有什么{train_type}吗,3
72,从{station}到{station}有什么直达{train_type},3
73,从{station}可以坐什么{train_type}到{station},3
74,从{station}去{station}有什么{train_type},3
75,从{station}坐什么{train_type}到{station},3
76,从{station}坐什么{train_type}可以到{station},3
77,都有哪些{train_type}从{station}到{station},3
78,可以通过哪些{train_type}从{station}到{station},3
79,可以坐哪些{train_type}从{station}到{station},3
80,哪几辆{train_type}能从{station}到{station},3
81,哪些{train_type}从{station}到{station},3
82,哪些{train_type}从{station}开到{station},3
83,哪些{train_type}可以从{station}到{station},3
84,哪些{train_type}能从{station}到{station},3
85,哪些{train_type}是从{station}到{station}的,3
86,起点{station}终点{station}的{train_type}有哪些,3
87,起点是{station}终点是{station}的{train_type}的有哪些,3
88,什么{train_type}从{station}到{station},3
89,什么{train_type}会从{station}到{station},3
90,什么{train_type}可以从{station}到{station},3
91,有哪些{train_type}从{station}到{station},3
92,有哪些{train_type}会从{station}运行到{station},3
93,有哪些{train_type}可以从{station}到{station},3
94,有哪些{train_type}是从{station}到{station}的,3
95,有哪些{train_type}以{station}为起点以{station}为终点,3
96,有啥{train_type}从{station}到{station},3
97,有什么{train_type}从{station}出发到{station},3
98,有什么{train_type}从{station}到{station},3
99,有什么{train_type}从{station}到达{station},3
100,有什么{train_type}从{station}驶向{station},3
101,有什么{train_type}会从{station}驶向{station},3
102,有什么{train_type}可以从{station}到{station},3
103,有什么{train_type}是从{station}到{station}的,3
104,有什么{train_type}是从{station}开往{station}的,3
105,坐什么{train_type}从{station}到{station},3
106,坐什么{train_type}可以从{station}到{station},3
107,{station}出发的{train_type}有哪些,4
108,{station}始发的{train_type}有哪些,4
109,{train_type}从{station}出发的有哪些,4
110,从{station}出发的{train_type}有哪些,4
111,从{station}出发可以乘坐哪些{train_type},4
112,从{station}发车的{train_type}有哪几趟,4
113,从{station}发车的有什么{train_type},4
114,从{station}开的{train_type}有哪些,4
115,从{station}始发的{train_type}有哪些,4
116,哪些{train_type}从{station}出发,4
117,哪些{train_type}从{station}开出,4
118,哪些{train_type}的起点站是{station},4
119,哪些{train_type}的起始站是{station},4
120,哪些{train_type}的始发点是{station},4
121,哪些{train_type}是从{station}出发,4
122,哪些{train_type}是从{station}出发的,4
123,什么{train_type}从{station}出发,4
124,始发于{station}的{train_type}有哪些,4
125,始发站在{station}的{train_type}有哪些,4
126,有哪些{train_type}从{station}出发,4
127,有哪些{train_type}的出发点是{station},4
128,有哪些{train_type}的始发站是{station},4
129,有哪些{train_type}起点站是{station},4
130,有哪些{train_type}是从{station}出发的,4
131,有哪些{train_type}是从{station}来的,4
132,有哪些{train_type}以{station}为始发站出发,4
133,在{station}出发的{train_type}有哪些,4
134,{station}是哪些{train_type}的终点站,5
135,{station}是终点站的{train_type}有哪些,5
136,{train_type}的终点站是{station}的有哪些,5
137,哪些{train_type}的终点站是{station},5
138,哪些{train_type}是以{station}为终点站的,5
139,哪些{train_type}终点为{station},5
140,哪些{train_type}终点站是{station},5
141,哪些{train_type}最终会行驶到{station},5
142,什么{train_type}终点是{station},5
143,什么{train_type}终点站是{station},5
144,有哪些{train_type}的终点站是{station},5
145,有哪些{train_type}以{station}为终点站,5
146,有哪些{train_type}终点站是{station},5
147,有哪些{train_type}终点站在{station},5
148,有哪些{train_type}最终到达{station},5
149,终点站是{station}的{train_type}有哪些,5
150,终点站是{station}的{train_type}铁路有哪些,5
151,终点站是{station}的{train_type}线路有哪些,5
152,最后一站在{station}的{train_type}有哪些,5
153,{station}{station}线发{train_type}时间有哪些,11
154,{station}到{station}的{train_type}都是几点发车的,11
155,{station}到{station}的发{train_type}表,11
156,{station}到{station}的发{train_type}时间有哪些,11
157,{station}到{station}有哪些时间的{train_type},11
158,{station}到{station}有什么时间段的{train_type},11
159,{station}有几点发的{train_type}可以到{station},11
160,{train_type}要求出发点是{station}终点是{station}的到达时间是多久,11
161,从{station}乘坐{train_type}到{station}，有可能在几点到,11
162,从{station}出发，有几点到达{station}的{train_type},11
163,从{station}出发到{station}有几点发车的{train_type},11
164,从{station}到{station}的{train_type}的发车时间有哪些,11
165,从{station}到{station}的{train_type}都几点到,11
166,从{station}到{station}的{train_type}都是几点发车,11
167,从{station}到{station}的{train_type}都有几点出发的,11
168,从{station}到{station}的{train_type}都有哪些时间点的,11
169,从{station}到{station}的{train_type}发车时间是多少,11
170,从{station}到{station}的{train_type}几点发,11
171,从{station}到{station}的{train_type}几点发车,11
172,从{station}到{station}的{train_type}可以在哪些时间上车,11
173,从{station}到{station}的{train_type}是几点出发,11
174,从{station}到{station}的{train_type}是几点发车的,11
175,从{station}到{station}的{train_type}有几点发车的,11
176,从{station}到{station}的{train_type}有哪些出发时间点,11
177,从{station}到{station}的{train_type}在几点发车,11
178,从{station}到{station}的所有{train_type}的出发时间是多少,11
179,从{station}到{station}都有几点的{train_type},11
180,从{station}到{station}几点有{train_type},11
181,从{station}到{station}可以坐几点的{train_type},11
182,从{station}到{station}有几点出发的{train_type},11
183,从{station}到{station}有几点的{train_type},11
184,从{station}到{station}有几点发车的{train_type},11
185,从{station}到{station}有几点发车的{train_type},11
186,从{station}到{station}有几点发的{train_type},11
187,从{station}到{station}有哪些时刻的{train_type},11
188,从{station}到{station}有坐多长时间的{train_type},11
189,从{station}到{station}坐{train_type}的话可以几点出发,11
190,从{station}发{train_type}到{station}有几点的{train_type},11
191,从{station}有几点发车去{station}的{train_type},11
192,几点发车的{train_type}是从{station}到{station}的,11
193,几点有从{station}到{province}的{train_type},11
194,几点有从{station}到{station}的{train_type},11
195,几点有从{station}到{station}发车的{train_type},11
196,几点有从{station}到{station}发的{train_type},11
197,列出始发为{station}，终点为{station}的{train_type}出发的时刻,11
198,始发于{station}终于{station}的{train_type}几点出发,11
199,有几点{station}到{station}的{train_type},11
200,有几点从{station}到{station}出发的{train_type},11
201,有几点从{station}发车的{train_type}到{station}的,11
202,有几点从{station}发往{station}的{train_type},11
203,有几点的{train_type}是从{station}到{station},11
204,有几点发车的{train_type}从{station}到{station},11
205,有哪些时间可以乘坐从{station}到{station}的{train_type},11
206,在哪些时刻有从{station}到{station}的{train_type},11
207,{station}出发的{train_type}都能在几点到{station},12
208,{station}到{station}的{train_type}都是几点到达的,12
209,{station}到{station}的{train_type}都有几点到的,12
210,{station}到达{station}的{train_type}的到达时间有哪些,12
211,{station}有几点到达的{train_type}是从{station}来的,12
212,从{station}出发的{train_type}，有几点能到达{station}的,12
213,从{station}到{station}的{train_type}都有几点到达的,12
214,从{station}到{station}的{train_type}什么时候可以到达,12
215,从{station}到{station}的{train_type}有几点到达的,12
216,从{station}到{station}有几点到达{train_type},12
217,从{station}到{station}有几点到达的{train_type},12
218,从{station}到{station}有几点到的{train_type},12
219,从{station}有几点到{station}的{train_type},12
220,从{station}有几点到达{station}的{train_type},12
221,都有几点到达的{train_type}从{station}抵达{station},12
222,几点有从{station}的{train_type}到达{province},12
223,起点站为{station}，终点站为{station}的{train_type}到达时间是几点,12
224,有几点到达的{train_type}从{station}到{station},12
225,{train_no}从哪站出发,18
226,{train_no}的经过站点有哪些,18
227,{train_no}的经停站有哪些,18
228,{train_no}的途径站都有哪些,18
229,{train_no}的行驶路线有哪些站,18
230,{train_no}的运行路线是什么,18
231,{train_no}的站点有哪些,18
232,{train_no}都从哪些站经过,18
233,{train_no}都路过哪里,18
234,{train_no}会到哪些站,18
235,{train_no}会路过哪,18
236,{train_no}经过的站有哪些,18
237,{train_no}经过哪里,18
238,{train_no}经过哪些车站,18
239,{train_no}经过哪些站,18
240,{train_no}经过哪些站,18
241,{train_no}可以直达哪些站,18
242,{train_no}可以坐到哪,18
243,{train_no}路过哪,18
244,{train_no}路过哪些地方,18
245,{train_no}路过哪些站,18
246,{train_no}途经哪几个站,18
247,{train_no}途经哪些车站,18
248,{train_no}途经哪些站,18
249,{train_no}途径的站有哪些,18
250,{train_no}途径哪些站,18
251,{train_no}途径哪些站点,18
252,{train_no}途径哪些站,18
253,{train_no}沿途有哪些站,18
254,{train_no}要到哪些站,18
255,{train_no}要走哪些站,18
256,{train_no}有哪些途径站点,18
257,{train_no}在哪些些站停,18
258,{train_no}在哪些站上下客,18
259,{train_no}在哪些站停车,18
260,{train_no}在行驶过程中经停哪些车站,18
261,乘坐{train_no}能够到达哪些站,18
262,哪些车站被{train_no}所经过,18
263,哪些车站是{train_no}会经过的,18
264,哪些车站是{train_no}经过的,18
265,哪些车站有{train_no},18
266,哪些是{train_no}经过的站,18
267,哪些站{train_no}会经过,18
268,哪些站{train_no}经过,18
269,哪些站被{train_no}经过,18
270,哪些站点会被{train_no}经过,18
271,哪些站点是{train_no}的途径站,18
272,哪些站是{train_no}会经过的,18
273,哪些站是{train_no}途经的,18
274,哪些站是经过{train_no}行驶,18
275,哪些站有{train_no}经过,18
276,哪些车站在{train_no},18
277,哪些地方有{train_no},18
278,有哪些车站是{train_no}会经过的,18
279,有哪些车站是{train_no}要经过的,18
280,有哪些站{train_no}会经过,18
281,有哪些站会被{train_no}经过,18
282,有哪些站在{train_no}行驶过程中,18
283,坐{train_no}可以到哪些站,18
284,{train_no}车次终点在哪儿,19
285,{train_no}到哪里是终点,19
286,{train_no}的目的地点是哪,19
287,{train_no}的终点在哪,19
288,{train_no}的终点站叫什么,19
289,{train_no}的终点站是哪里,19
290,{train_no}的终点站在哪,19
291,{train_no}的终点站在哪里,19
292,{train_no}可以到达的最远的站时什么,19
293,{train_no}是到哪的,19
294,{train_no}终点在哪,19
295,{train_no}终点站,19
296,{train_no}终点站是什么,19
297,{train_no}终于何处,19
298,{train_no}最后到哪,19
299,{train_no}最后去哪里,19
300,{train_no}最后停在哪里,19
301,{train_no}最后一站是哪里,19
302,{train_no}最后一站是哪一站,19
303,{train_no}最终到达哪里,19
304,{train_no}最终到达哪站,19
305,{train_no}最终到哪里停下,19
306,{train_no}最终会到哪里,19
307,{train_no}最终停靠在哪一站,19
308,{train_no}最终在哪停,19
309,哪个车站是{train_no}的终点站,19
310,哪个站是{train_no}的终点站,19
311,哪里是{train_no}的终点,19
312,哪里是{train_no}的终点站,19
313,哪里是{train_no}的最后一站,19
314,哪里是{train_no}终点站,19
315,哪一站是{train_no}的终点站,19
316,哪里是{train_no}的终点站,19
317,{train_no}出发站是哪里,20
318,{train_no}从哪出发,20
319,{train_no}从哪儿出发,20
320,{train_no}从哪个站出发,20
321,{train_no}从哪个站发车,20
322,{train_no}从哪里出发,20
323,{train_no}从哪里发车,20
324,{train_no}从哪里开始,20
325,{train_no}从哪里始发,20
326,{train_no}的出发地点,20
327,{train_no}的从哪出发,20
328,{train_no}的第一站是哪一站,20
329,{train_no}的起点站是哪里,20
330,{train_no}的线路从哪里开始,20
331,{train_no}列车从哪个车站出发,20
332,{train_no}起始站点是哪个地方,20
333,{train_no}始发于哪里,20
334,{train_no}始发站,20
335,{train_no}始发站在哪里,20
336,{train_no}在哪发车,20
337,{train_no}最初会从哪个站出发,20
338,{train_no}最终到哪个站,20
339,哪个站点是{train_no}的起点站,20
340,哪个站是{train_no}的起点站,20
341,哪里是{train_no}的起点站,20
